"id_requisicao","num_movimentacoes","num_anexos","valor_estimado","dias_em_processamento","passou_distribuidora","id_tipo_irregularidade","id_subtipo_irregularidade","tem_descricao","tem_link_fatura","tem_periodos","avancou"
16645,18,0,18000.00,946,0,2,4,1,1,1,1
16646,35,0,72000.00,946,0,2,4,1,1,1,1
16647,20,0,15000.00,946,0,2,4,1,1,1,1
16648,31,0,8000.00,946,0,2,4,1,1,1,1
16649,30,0,26000.00,946,0,2,4,1,1,1,1
16650,29,0,7000.00,946,0,2,4,1,1,1,1
16651,18,0,25000.00,945,0,2,4,1,1,1,1
16653,18,0,43862.00,945,0,2,4,1,1,1,1
16654,17,0,90000.00,945,0,2,4,1,1,1,1
16655,47,5,200000.00,945,0,3,6,1,1,1,1
16656,26,0,60000.00,945,0,7,11,1,1,1,1
16657,23,0,38000.00,945,0,2,4,1,1,1,1
16658,30,2,64000.00,945,0,2,4,1,1,1,1
16660,37,4,50000.00,945,0,2,4,1,1,1,1
16662,24,0,30000.00,945,0,2,4,1,1,1,1
16663,22,0,30000.00,945,0,2,4,1,1,1,1
16665,22,0,30000.00,944,0,2,4,1,1,1,1
16666,22,0,6000.00,944,0,2,4,1,1,1,1
16669,23,0,80000.00,944,0,2,4,1,1,1,1
16673,20,0,40000.00,944,0,2,4,1,1,1,1
16679,17,0,15000.00,944,0,2,4,1,1,1,1
16684,28,0,20000.00,944,0,2,4,1,1,1,1
16685,19,0,6000.00,944,0,2,4,1,1,1,1
16686,19,0,26000.00,944,0,2,4,1,1,1,1
16687,23,0,9400.00,944,0,2,4,1,1,1,1
16691,20,0,80000.00,944,0,2,4,1,1,1,1
16693,15,0,44000.00,944,0,2,4,1,1,1,1
16696,17,0,5000.00,944,0,2,4,1,1,1,1
16700,16,0,40000.00,944,0,7,11,1,1,1,1
16702,19,0,9000.00,944,0,2,4,1,1,1,1
16704,22,0,12000.00,944,0,2,4,1,1,1,1
16706,20,0,8500.00,944,0,2,4,1,1,1,1
16711,22,0,10000.00,931,0,2,4,1,1,1,0
16714,10,0,0.00,918,0,1,35,1,1,1,1
16716,13,0,5500.00,917,0,5,8,1,1,1,0
16724,54,0,1000.00,916,0,7,25,1,1,1,1
16725,39,0,14500.00,916,0,7,25,1,1,1,1
16735,43,0,60000.00,915,0,3,5,1,1,1,1
16736,18,0,12000.00,610,0,2,4,1,1,1,1
16741,19,0,5000.00,910,0,2,4,1,1,1,0
16742,19,0,30000.00,910,0,2,4,1,1,1,0
16743,14,0,7000.00,910,0,2,4,1,1,1,0
16745,15,0,121800.00,910,0,2,4,1,1,1,0
16750,35,0,2000.00,907,0,2,4,1,1,1,1
16751,76,0,10000.00,907,0,2,4,1,1,1,1
16752,16,0,4000.00,907,0,2,4,1,1,1,0
16753,31,0,7000.00,907,0,3,6,1,1,1,1
16754,38,0,3000.00,907,0,2,4,1,1,1,1
16757,8,0,1600.00,904,0,6,17,1,1,1,0
16758,15,0,1600.00,904,0,6,17,1,1,1,0
16759,8,0,700.00,904,0,6,17,1,1,1,0
16761,9,0,4700.00,904,0,6,17,1,1,1,0
16762,9,0,1600.00,904,0,6,17,1,1,1,0
16763,58,0,15000.00,904,0,2,4,1,1,1,1
16764,21,0,1500.00,904,0,2,4,1,1,1,1
16767,19,0,3000.00,904,0,2,4,1,1,1,0
16768,17,0,10000.00,904,0,5,12,1,1,1,0
16769,11,0,130000.00,904,0,2,4,1,1,1,0
16770,36,0,6000.00,904,0,2,4,1,1,1,1
16771,17,0,8000.00,903,0,5,12,1,1,1,0
16772,16,0,5000.00,903,0,2,4,1,1,1,0
16773,25,0,3000.00,903,0,2,4,1,1,1,0
16774,28,0,13000.00,903,0,5,12,1,1,1,0
16775,32,0,150000.00,903,0,2,4,1,1,1,1
16776,15,0,8000.00,903,0,2,4,1,1,1,0
16777,17,0,7000.00,903,0,2,4,1,1,1,0
16778,16,0,2000.00,903,0,2,4,1,1,1,0
16779,85,0,5000.00,903,0,2,4,1,1,1,1
16780,16,0,2500.00,903,0,2,4,1,1,1,0
16781,16,0,4000.00,903,0,2,4,1,1,1,0
16782,33,0,35000.00,903,0,2,4,1,1,1,1
16783,16,0,500.00,903,0,2,4,1,1,1,0
16784,16,0,1500.00,903,0,2,4,1,1,1,0
16785,17,0,12000.00,903,0,2,4,1,1,1,0
16786,15,0,11000.00,903,0,2,4,1,1,1,0
16787,35,0,7000.00,903,0,2,4,1,1,1,1
16788,25,0,18000.00,903,0,2,4,1,1,1,0
16790,28,0,1000.00,903,0,2,4,1,1,1,1
16791,11,0,800.00,903,0,6,17,1,1,1,0
16792,12,0,200.00,903,0,6,17,1,1,1,0
16793,10,0,200.00,903,0,6,17,1,1,1,0
16794,8,0,800.00,903,0,6,17,1,1,1,0
16796,39,0,170000.00,902,0,2,4,1,1,1,1
16799,11,0,100.00,902,0,2,4,1,1,1,0
16802,35,0,55000.00,901,0,2,4,1,1,1,1
16827,34,0,550.00,901,0,2,4,1,1,1,1
16843,14,0,48608.07,900,0,5,14,1,1,1,0
16844,17,0,10000.00,897,0,2,4,1,1,1,0
16845,31,0,12000.00,897,0,2,4,1,1,1,0
16846,49,0,2000.00,897,0,2,4,1,1,1,1
16849,21,0,60000.00,897,0,2,4,1,1,1,0
16851,22,0,4000.00,895,0,2,4,1,1,1,0
16853,20,0,4000.00,895,0,2,4,1,1,1,0
16854,25,0,4000.00,895,0,2,4,1,1,1,0
16855,20,0,3000.00,895,0,2,4,1,1,1,0
16856,26,0,5000.00,895,0,2,4,1,1,1,0
16857,24,0,12000.00,895,0,2,4,1,1,1,0
16858,20,0,10000.00,895,0,2,4,1,1,1,0
16859,22,0,20000.00,895,0,2,4,1,1,1,1
16860,25,0,15000.00,895,0,2,4,1,1,1,1
16862,27,0,2000.00,895,0,2,4,1,1,1,1
16863,26,0,3000.00,895,0,2,4,1,1,1,1
16865,25,0,10000.00,895,0,2,4,1,1,1,1
16866,26,0,20000.00,895,0,2,4,1,1,1,1
16867,25,0,50000.00,895,0,2,4,1,1,1,1
16868,25,0,2500.00,895,0,2,4,1,1,1,1
16869,25,0,15000.00,895,0,2,4,1,1,1,1
16870,33,0,15000.00,895,0,2,4,1,1,1,0
16871,24,0,2500.00,895,0,2,4,1,1,1,1
16872,20,0,4000.00,895,0,2,4,1,1,1,0
16873,26,0,9000.00,895,0,2,4,1,1,1,1
16874,26,0,6000.00,895,0,2,4,1,1,1,1
16875,20,0,6000.00,895,0,2,4,1,1,1,0
16884,14,0,30000.00,894,0,2,4,1,1,1,0
16885,54,0,30000.00,894,0,2,4,1,1,1,1
16886,56,0,20000.00,894,0,2,4,1,1,1,1
16887,61,0,6000.00,894,0,2,4,1,1,1,1
16888,75,0,10000.00,894,0,2,4,1,1,1,1
16892,17,0,20000.00,893,0,2,4,1,1,1,0
16893,18,0,5000.00,893,0,2,4,1,1,1,0
16894,18,0,6000.00,893,0,2,4,1,1,1,0
16895,15,0,5000.00,891,0,5,12,1,1,1,0
16896,17,0,6000.00,890,0,5,12,1,1,1,0
16897,18,0,10000.00,890,0,2,4,1,1,1,0
16899,22,0,20000.00,890,0,5,12,1,1,1,0
16900,118,0,10000.00,890,0,5,12,1,1,1,1
16901,19,0,3000.00,610,0,2,4,1,1,1,1
16902,18,0,20000.00,890,0,2,4,1,1,1,1
16903,47,0,3000.00,890,0,5,12,1,1,1,1
16905,34,0,6000.00,890,0,2,4,1,1,1,1
16906,32,0,20000.00,890,0,2,4,1,1,1,0
16907,15,0,6000.00,890,0,2,4,1,1,1,0
16911,30,0,20000.00,890,0,2,4,1,1,1,1
16912,14,0,10000.00,890,0,2,4,1,1,1,0
16913,58,0,6000.00,890,0,2,4,1,1,1,1
16915,10,0,5000.00,890,0,2,4,1,1,1,0
16917,11,0,10000.00,889,0,2,4,1,1,1,0
16918,11,0,6000.00,889,0,5,12,1,1,1,0
16919,11,0,25000.00,889,0,5,12,1,1,1,0
16920,11,0,5000.00,889,0,2,4,1,1,1,0
16921,11,0,5000.00,889,0,2,4,1,1,1,0
16922,11,0,20000.00,889,0,5,12,1,1,1,0
16923,11,0,30000.00,889,0,5,12,1,1,1,0
16924,11,0,50000.00,889,0,5,12,1,1,1,0
16925,11,0,10000.00,889,0,5,12,1,1,1,0
16926,11,0,15000.00,889,0,2,4,1,1,1,0
16927,11,0,50000.00,889,0,2,4,1,1,1,0
16928,11,0,10000.00,889,0,5,12,1,1,1,0
16930,28,1,6000.00,889,0,5,12,1,1,1,1
16931,14,0,30000.00,889,0,2,4,1,1,1,0
16932,17,0,15000.00,889,0,2,4,1,1,1,0
16933,13,0,7000.00,889,0,5,12,1,1,1,0
16935,36,0,30000.00,889,0,5,12,1,1,1,1
16936,18,0,5000.00,889,0,2,4,1,1,1,0
16937,14,0,10000.00,888,0,2,4,1,1,1,0
16941,71,0,18000.00,888,0,2,4,1,1,1,1
16942,13,0,2000.00,888,0,2,4,1,1,1,0
16943,12,0,7000.00,887,0,2,4,1,1,1,0
16944,18,0,3000.00,887,0,2,4,1,1,1,0
16945,46,0,10000.00,887,0,7,11,1,1,1,1
16946,12,0,2000.00,887,0,5,7,1,1,1,0
16947,12,0,1800.00,887,0,5,7,1,1,1,0
16948,12,0,5000.00,887,0,5,7,1,1,1,0
16949,66,0,60000.00,886,0,2,4,1,1,1,1
16950,46,0,40000.00,886,0,2,4,1,1,1,1
16951,28,0,60000.00,886,0,2,4,1,1,1,1
16953,73,0,15000.00,886,0,2,4,1,1,1,1
16954,17,0,1500.00,885,0,5,12,1,1,1,0
16955,51,0,10000.00,885,0,5,12,1,1,1,1
16956,45,0,2000.00,885,0,2,4,1,1,1,1
16957,15,0,2000.00,885,0,5,12,1,1,1,0
16959,23,0,2000.00,883,0,2,4,1,1,1,0
16962,9,0,5000.00,883,0,2,4,1,1,1,1
16964,21,0,6000.00,883,0,2,4,1,1,1,0
16965,18,0,15000.00,883,0,2,4,1,1,1,0
16966,19,0,6000.00,883,0,2,4,1,1,1,0
16967,20,0,40000.00,883,0,5,12,1,1,1,0
16968,20,0,80000.00,883,0,5,12,1,1,1,0
16969,19,0,70000.00,883,0,5,12,1,1,1,0
16970,17,0,4000.00,883,0,5,12,1,1,1,0
16971,19,0,3500.00,883,0,2,4,1,1,1,0
16973,15,0,4000.00,882,0,2,4,1,1,1,0
16976,19,0,4000.00,880,0,2,4,1,1,1,0
16980,52,0,30000.00,880,0,3,6,1,1,1,1
16981,15,0,30000.00,880,0,5,12,1,1,1,0
16982,15,0,18000.00,880,0,5,12,1,1,1,0
16983,32,0,35118.48,880,0,7,11,1,1,1,1
16984,13,0,80000.00,880,0,2,4,1,1,1,0
16985,13,0,30000.00,880,0,5,12,1,1,1,0
16989,58,0,10000.00,879,0,2,4,1,1,1,1
16990,13,0,1000.00,876,0,3,6,1,1,1,0
16991,12,0,10000.00,876,0,5,12,1,1,1,0
16992,12,0,10000.00,876,0,5,12,1,1,1,0
16993,14,0,12000.00,876,0,2,4,1,1,1,0
16994,12,0,1500.00,876,0,2,4,1,1,1,0
16995,12,0,10000.00,876,0,5,12,1,1,1,0
16996,12,0,3000.00,876,0,5,12,1,1,1,0
16997,8,0,2000.00,876,0,5,7,1,1,1,0
